Headword	English_IPA	English_Sound_Classes
night	n aɪ t	N V T
lap	l æ p	R V P
world	ʋ ɜː l d	W V R T
warp	ʋ ɔː p	W V P
sing	s ɪ ŋ	S V N
might	m aɪ t	M V T
nail	n eɪ l	N V R
do	d uː	T V
fire	f aɪ ə r	P V V R
token	t əʊ k ə n	T V K V N
lick	l ɪ k	R V K
singe	s ɪ n	S V N
guest	ɡ ɛ s t	K V S T
mother	m ʌ ð ə r	M V T V R
stem	s t ɛ m	S T V M
bast	b æ s t	P V S T
lid	l ɪ d	R V T
read	r iː d	R V T
bring	b r ɪ ŋ	P R V N
sunder	s ʌ n d ə r	S V N T V R
thorn	θ ɔː n	T V N
will	ʋ ɪ l	W V R
sleep	s l iː p	S R V P
rudder	r ʌ d ə r	R V T V R
tongue	t ʌ ŋ	T V N
comb	k əʊ m	K V M
tread	t r ɛ d	T R V T
belly	b ɛ l ɪ	P V R V
friend	f r ɛ n d	P R V N T
finger	f ɪ ŋ ə r	P V N V R
mast	m ɑː s t	M V S T
thistle	θ ɪ s ə l	T V S V R
toe	t əʊ	T V
linden	l ɪ n d	R V N T
nose	n əʊ z	N V S
roe	r əʊ	R V
town	t aʊ n	T V N
lead	l iː d	R V T
sieve	s ɪ v	S V W
burst	b ɜː s t	P V S T
sun	s ʌ n	S V N
find	f aɪ n d	P V N T
warp	ʋ ɔː p	W V P
breast	b r ɛ s t	P R V S T
hall	h ɔː l	H V R
while	ʋ aɪ l	W V R
hawk	h ɔː k	H V K
fell	f ɛ l	P V R
flax	f l æ k s	P R V K S
smear	s m ɪə r	S M V R
set	s ɛ t	S V T
louse	l aʊ s	R V S
fist	f ɪ s t	P V S T
fowl	f aʊ l	P V R
knead	n iː d	N V T
beaver	b iː v ə r	P V W V R
shaft	ʃ ɑː f t	S V P T
summer	s ʌ m ə r	S V M V R
god	ɡ ɔ d	K V T
way	ʋ eɪ	W V
follow	f ɔ l əʊ	P V R V
hoof	h uː f	H V P
stool	s t uː l	S T V R
stock	s t ɔ k	S T V K
slime	s l aɪ m	S R V M
man	m æ n	M V N
weave	ʋ iː v	W V W
