HEADWORD	IPA	SOUND_CLASSES
intestinal	ɪ n t ɛ s t i n a l	V N T V S T V N V R
Inthronisation	ɪ n t r o n i z a ts i o n	V N T R V N V S V K V V N
inthronisieren	ɪ n t r o n i z i r ə n	V N T R V N V S V R V N
intim	ɪ n t i m	V N T V M
Intimation	ɪ n t i m a ts i o n	V N T V M V K V V N
Intimbereich	ɪ n t i m b ə r ai x	V N T V M P V R V K
Intimität	ɪ n t i m i t æ t	V N T V M V T V T
Intimsphäre	ɪ n t i m s f æ r ə	V N T V M S P V R V
Intimus	ɪ n t i m ʊ s	V N T V M V S
intolerant	ɪ n t o l e r a n t	V N T V R V R V N T
Intoleranz	ɪ n t o l e r a n ts	V N T V R V R V N K
Intonation	ɪ n t o n a ts i o n	V N T V N V K V V N
intonieren	ɪ n t o n i r ə n	V N T V N V R V N
Intoxikation	ɪ n t ɔ k s i k a ts i o n	V N T V K S V K V K V V N
intrakardial	ɪ n t r a k a r d i a l	V N T R V K V R T V V R
intramolekular	ɪ n t r a m o l e k u l a r	V N T R V M V R V K V R V R
intramuskulär	ɪ n t r a m ʊ s k u l æ r	V N T R V M V S K V R V R
intransigent	ɪ n t r a n z i g ɛ n t	V N T R V N S V K V N T
Intransigent	ɪ n t r a n z i g ɛ n t	V N T R V N S V K V N T
Intransigenz	ɪ n t r a n z i g ɛ n ts	V N T R V N S V K V N K
intransitiv	ɪ n t r a n z i t i f	V N T R V N S V T V P
Intransitiv	ɪ n t r a n z i t i f	V N T R V N S V T V P
intravenös	ɪ n t r a v e n ɶː s	V N T R V W V N V S
intrazellular	ɪ n t r a ts ɛ l u l a r	V N T R V K V R V R V R
intrigant	ɪ n t r i g a n t	V N T R V K V N T
Intrigant	ɪ n t r i g a n t	V N T R V K V N T
Intrige	ɪ n t r i g ə	V N T R V K V
Intrigenspiel	ɪ n t r i g ə n ʃ p i l	V N T R V K V N S P V R
intrigieren	ɪ n t r i g i r ə n	V N T R V K V R V N
Introduktion	ɪ n t r o d ʊ k ts i o n	V N T R V T V K K V V N
introduzieren	ɪ n t r o d u ts i r ə n	V N T R V T V K V R V N
Introitus	ɪ n t r o i t ʊ s	V N T R V V T V S
Introspektion	ɪ n t r o s p ɛ k ts i o n	V N T R V S P V K K V V N
Introversion	ɪ n t r o v ɛ r z i o n	V N T R V W V R S V V N
introvertiert	ɪ n t r o v ɛ r t i r t	V N T R V W V R T V R T
Intuition	ɪ n t u i ts i o n	V N T V V K V V N
intuitiv	ɪ n t u i t i f	V N T V V T V P
intus	ɪ n t ʊ s	V N T V S
Inundation	ɪ n ʊ n d a ts i o n	V N V N T V K V V N
invalid	ɪ n v a l i t	V N W V R V T
invalide	ɪ n v a l i d ə	V N W V R V T V
Invalide	ɪ n v a l i d ə	V N W V R V T V
Invalidenrente	ɪ n v a l i d ə n r ɛ n t ə	V N W V R V T V N R V N T V
Invalidenversicherung	ɪ n v a l i d ə n f ɛ r z ɪ x ə r ʊ ŋ	V N W V R V T V N P V R S V K V R V N
invalidieren	ɪ n v a l i d i r ə n	V N W V R V T V R V N
invalidisieren	ɪ n v a l i d i z i r ə n	V N W V R V T V S V R V N
Invalidität	ɪ n v a l i d i t æ t	V N W V R V T V T V T
invariabel	ɪ n v a r i a b ə l	V N W V R V V P V R
Invariante	ɪ n v a r i a n t ə	V N W V R V V N T V
Invarianz	ɪ n v a r i a n ts	V N W V R V V N K
Invasion	ɪ n v a z i o n	V N W V S V V N
Invektive	ɪ n v ɛ k t i v ə	V N W V K T V W V
Inventar	ɪ n v ɛ n t a r	V N W V N T V R
Inventarerbe	ɪ n v ɛ n t a r ɛ r b ə	V N W V N T V R V R P V
inventarisieren	ɪ n v ɛ n t a r i z i r ə n	V N W V N T V R V S V R V N
Inventarrecht	ɪ n v ɛ n t a r r ɛ x t	V N W V N T V R R V K T
Invention	ɪ n v ɛ n ts i o n	V N W V N K V V N
Inventur	ɪ n v ɛ n t u r	V N W V N T V R
invers	ɪ n v ɛ r s	V N W V R S
Inversion	ɪ n v ɛ r z i o n	V N W V R S V V N
Invertebrat	ɪ n v ɛ r t e b r a t	V N W V R T V P R V T
invertieren	ɪ n v ɛ r t i r ə n	V N W V R T V R V N
invertiert	ɪ n v ɛ r t i r t	V N W V R T V R T
investieren	ɪ n v ɛ s t i r ə n	V N W V S T V R V N
Investierung	ɪ n v ɛ s t i r ʊ ŋ	V N W V S T V R V N
Investition	ɪ n v ɛ s t i ts i o n	V N W V S T V K V V N
Investment	ɪ n v ɛ s t m ə n t	V N W V S T M V N T
Invokation	ɪ n v o k a ts i o n	V N W V K V K V V N
Involution	ɪ n v o l u ts i o n	V N W V R V K V V N
involvieren	ɪ n v ɔ l v i r ə n	V N W V R W V R V N
inwärts	ɪ n v ɛ r ts	V N W V R K
inwendig	ɪ n v ɛ n d ɪ x	V N W V N T V K
inwiefern	ɪ n v i f ɛ r n	V N W V P V R N
inwieweit	ɪ n v i v ai t	V N W V W V T
Inzest	ɪ n ts ɛ s t	V N K V S T
inzestuös	ɪ n ts ɛ s t u ɶː s	V N K V S T V V S
Inzucht	ɪ n ts ʊ x t	V N K V K T
inzwischen	ɪ n ts v ɪ ʃ ə n	V N K W V S V N
Ion	i o n	V V N
ionisieren	i o n i z i r ə n	V V N V S V R V N
irdisch	ɪ r d ɪ ʃ	V R T V S
Ire	i r ə	V R V
irgend	ɪ r g ə n t	V R K V N T
irgendein	ɪ r g ə n t ai n	V R K V N T V N
irgendeinmal	ɪ r g ə n d ai n m a l	V R K V N T V N M V R
Iris	i r ɪ s	V R V S
irisch	i r ɪ ʃ	V R V S
Irokese	i r o k e z ə	V R V K V S V
Ironie	i r o n i	V R V N V
Ironiker	i r o n i k ə r	V R V N V K V R
ironisch	i r o n ɪ ʃ	V R V N V S
ironisieren	i r o n i z i r ə n	V R V N V S V R V N
irren	ɪ r ə n	V R V N
irrational	ɪ r r a ts i o n a l	V R R V K V V N V R
Irrationalismus	ɪ r r a ts i o n a l ɪ s m ʊ s	V R R V K V V N V R V S M V S
irre	ɪ r ə	V R V
Irre	ɪ r ə	V R V
irreal	ɪ r r e a l	V R R V V R
Irrealität	ɪ r r e a l i t æ t	V R R V V R V T V T
irreführen	ɪ r ə f y r ə n	V R V P V R V N
Irreführung	ɪ r ə f y r ʊ ŋ	V R V P V R V N
irregehen	ɪ r ə g e ə n	V R V K V V N
irregulär	ɪ r e g ʊ l æ r	V R V K V R V R
Irreguläre	ɪ r e g ʊ l æ r ə	V R V K V R V R V
Irregularität	ɪ r e g u l a r i t æ t	V R V K V R V R V T V T
irreleiten	ɪ r ə l ai t ə n	V R V R V T V N
irrelevant	ɪ r r e l e v a n t	V R R V R V W V N T
Irrelevanz	ɪ r e l e v a n ts	V R V R V W V N K
irreligiös	ɪ r r e l i g i ɶː s	V R R V R V K V V S
Irreligiosität	ɪ r r e l i g i o z i t æ t	V R R V R V K V V S V T V T
irremachen	ɪ r ə m a x ə n	V R V M V K V N
Irrenanstalt	ɪ r ə n a n ʃ t a l t	V R V N V N S T V R T
Irrenarzt	ɪ r ə n a r ts t	V R V N V R K T
Irrenhaus	ɪ r ə n h au s	V R V N H V S
irrenhausreif	ɪ r ə n h au s r ai f	V R V N H V S R V P
irreparabel	ɪ r r e p a r a b ə l	V R R V P V R V P V R
irrereden	ɪ r ə r e d ə n	V R V R V T V N
Irresein	ɪ r ə z ai n	V R V S V N
irreversibel	ɪ r r e v ɛ r z i b ə l	V R R V W V R S V P V R
Irrewerden	ɪ r ə v e r d ə n	V R V W V R T V N
Irrfahrt	ɪ r f a r t	V R P V R T
Irrgang	ɪ r g a ŋ	V R K V N
Irrgarten	ɪ r g a r t ə n	V R K V R T V N
Irrglauben	ɪ r g l au b ə n	V R K R V P V N
irrgläubig	ɪ r g l χ b ɪ x	V R K R K P V K
irrig	ɪ r ɪ x	V R V K
Irrigation	ɪ r i g a ts i o n	V R V K V K V V N
irrigerweise	ɪ r i g ə r v ai z ə	V R V K V R W V S V
irritabel	ɪ r i t a b ə l	V R V T V P V R
Irritabilität	ɪ r i t a b i l i t æ t	V R V T V P V R V T V T
Irritation	ɪ r i t a ts i o n	V R V T V K V V N
irritieren	ɪ r i t i r ə n	V R V T V R V N
Irrläufer	ɪ r l χ f ə r	V R R K P V R
Irrlehre	ɪ r l e r ə	V R R V R V
Irrlicht	ɪ r l ɪ x t	V R R V K T
irrlichtern	ɪ r l ɪ x t ə r n	V R R V K T V R N
Irrsal	ɪ r z a l	V R S V R
Irrsinn	ɪ r z ɪ n	V R S V N
irrsinnig	ɪ r z ɪ n ɪ x	V R S V N V K
Irrtum	ɪ r t u m	V R T V M
irrtümlich	ɪ r t y m l ɪ x	V R T V M R V K
irrtümlicherweise	ɪ r t y m l ɪ x ə r v ai z ə	V R T V M R V K V R W V S V
Irrung	ɪ r ʊ ŋ	V R V N
Irrweg	ɪ r v e k	V R W V K
Irrwisch	ɪ r v ɪ ʃ	V R W V S
irrwitzig	ɪ r v ɪ ts ɪ x	V R W V K V K
Islam	ɪ s l a m	V S R V M
islamisch	ɪ s l a m ɪ ʃ	V S R V M V S
Islamismus	ɪ s l a m ɪ s m ʊ s	V S R V M V S M V S
Isolation	i z o l a ts i o n	V S V R V K V V N
Isolationismus	i z o l a ts i o n ɪ s m ʊ s	V S V R V K V V N V S M V S
Isolator	i z o l a t ɔ r	V S V R V T V R
isolieren	i z o l i r ə n	V S V R V R V N
Isomerie	i z o m e r i	V S V M V R V
isomorph	i z o m ɔ r f	V S V M V R P
Isomorphie	i z o m ɔ r f i	V S V M V R P V
Isotop	i z o t o p	V S V T V P
isrälisch	ɪ s r a e l ɪ ʃ	V S R V V R V S
Italien	i t a l i ə n	V T V R V V N
italienisch	i t a l i e n ɪ ʃ	V T V R V V N V S
italisch	i t a l ɪ ʃ	V T V R V S
item	i t ɛ m	V T V M
Item	i t ɛ m	V T V M
Itinerar	i t i n e r a r	V T V N V R V R
J	j ɔ t	J V T
ja	j a	J V
Ja	j a	J V
Jacht	j a x t	J V K T
Jäckchen	j ɛ k x ə n	J V K K V N
Jacke	j a k ə	J V K V
Jackenkleid	j a k ə n k l ai t	J V K V N K R V T
Jackett	ʒ a k ɛ t	S V K V T
Jade	j a d ə	J V T V
jadegrün	j a d ə g r y n	J V T V K R V N
jagen	j a g ə n	J V K V N
Jagd	j a k t	J V K T
Jagdaufseher	j a k t au f z e ə r	J V K T V P S V V R
jagdbar	j a k t b a r	J V K T P V R
Jagdbomber	j a k t b ɔ m b ə r	J V K T P V M P V R
Jagdflieger	j a k t f l i g ə r	J V K T P R V K V R
Jagdflinte	j a k t f l ɪ n t ə	J V K T P R V N T V
Jagdgeschwader	j a k t g ə ʃ v a d ə r	J V K T K V S W V T V R
Jagdgewehr	j a k t g ə v e r	J V K T K V W V R
Jagdhund	j a k t h ʊ n t	J V K T H V N T
Jagdrevier	j a k t r e v i r	J V K T R V W V R
Jagdtrophäe	j a k t t r o f æ ə	J V K T T R V P V V
Jagdwurst	j a k t v ʊ r s t	J V K T W V R S T
Jagen	j a g ə n	J V K V N
Jäger	j æ g ə r	J V K V R
Jägerei	j æ g ə r ai	J V K V R V
Jägerlatein	j æ g ə r l a t ai n	J V K V R R V T V N
Jägermeister	j æ g ə r m ai s t ə r	J V K V R M V S T V R
Jaguar	j a g u a r	J V K V V R
jäh	j æ	J V
Jäheit	j æ h ai t	J V H V T
jähren	j æ r ə n	J V R V N
Jahr	j a r	J V R
jahraus	j a r au s	J V R V S
Jahrbuch	j a r b u x	J V R P V K
jahrein	j a r ai n	J V R V N
jahrelang	j a r ə l a ŋ	J V R V R V N
Jahresabonnement	j a r ə s a b ɔ n ə m ã	J V R V S V P V N V M V
Jahresbeginn	j a r ə s b ə g ɪ n	J V R V S P V K V N
Jahresbeitrag	j a r ə s b ai t r a k	J V R V S P V T R V K
Jahrestag	j a r ə s t a k	J V R V S T V K
Jahreszeit	j a r ə s ts ai t	J V R V S K V T
jahreszeitlich	j a r ə s ts ai t l ɪ x	J V R V S K V T R V K
Jahrgang	j a r g a ŋ	J V R K V N
Jahrhundert	j a r h ʊ n d ə r t	J V R H V N T V R T
jahrhundertealt	j a r h ʊ n d ə r t ə a l t	J V R H V N T V R T V V R T
jahrhundertelang	j a r h ʊ n d ə r t ə l a ŋ	J V R H V N T V R T V R V N
jährlich	j æ r l ɪ x	J V R R V K
Jahrmarkt	j a r m a r k t	J V R M V R K T
Jahrtausend	j a r t au z ə n t	J V R T V S V N T
Jahrzehnt	j a r ts e n t	J V R K V N T
jahrzehntelang	j a r ts e n t ə l a ŋ	J V R K V N T V R V N
Jähzorn	j æ ts ɔ r n	J V K V R N
jähzornig	j æ ts ɔ r n ɪ x	J V K V R N V K
Jak	j a k	J V K
Jalousie	ʒ a l u z i	S V R V S V
Jalousieschrank	ʒ a l u z i ʃ r a ŋ k	S V R V S V S R V N K
Jambe	j a m b ə	J V M P V
jambisch	j a m b ɪ ʃ	J V M P V S
jammern	j a m ə r n	J V M V R N
Jammer	j a m ə r	J V M V R
Jammerlappen	j a m ə r l a p ə n	J V M V R R V P V N
jämmerlich	j ɛ m ə r l ɪ x	J V M V R R V K
Jämmerlichkeit	j ɛ m ə r l ɪ x k ai t	J V M V R R V K K V T
jammerschade	j a m ə r ʃ a d ə	J V M V R S V T V
jammervoll	j a m ə r f ɔ l	J V M V R P V R
Janitschar	j a n ɪ t ʃ a r	J V N V T S V R
Januar	j a n u a r	J V N V V R
Januskopf	j a n ʊ s k ɔ pf	J V N V S K V P
Japan	j a p a n	J V P V N
Japaner	j a p a n ə r	J V P V N V R
japanisch	j a p a n ɪ ʃ	J V P V N V S
Japanologe	j a p a n o l o g ə	J V P V N V R V K V
Jargon	ʒ a r g õ	S V R K V
Jasager	j a z a g ə r	J V S V K V R
jassen	j a s ə n	J V S V N
Jass	j a s	J V S
jäten	j æ t ə n	J V T V N
Jauche	j au x ə	J V K V
Jauchengrube	j au x ə n g r u b ə	J V K V N K R V P V
jauchzen	j au x ts ə n	J V K K V N
Jauchzer	j au x ts ə r	J V K K V R
jaulen	j au l ə n	J V R V N
jausen	j au z ə n	J V S V N
Jause	j au z ə	J V S V
Javaner	j a v a n ə r	J V W V N V R
jawohl	j a v o l	J V W V R
Jawort	j a v ɔ r t	J V W V R T
Jazz	dʒ ɛ s	T V S
Jazzband	dʒ ɛ s b ɛ n t	T V S P V N T
Jazzmusik	dʒ ɛ s m u z i k	T V S M V S V K
je	j e	J V
je	j e	J V
je	j e	J V
je	j e	J V
jeck	j ɛ k	J V K
Jeck	j ɛ k	J V K
jeder	j e d ə r	J V T V R
jedenfalls	j e d ə n f a l s	J V T V N P V R S
jederart	j e d ə r a r t	J V T V R V R T
jedermann	j e d ə r m a n	J V T V R M V N
jederzeit	j e d ə r ts ai t	J V T V R K V T
jederzeitig	j e d ə r ts ai t ɪ x	J V T V R K V T V K
jedesmal	j e d ə s m a l	J V T V S M V R
jedoch	j e d ɔ x	J V T V K
jedoch	j e d ɔ x	J V T V K
jedweder	j e t v e d ə r	J V T W V T V R
Jeep	dʒ i p	T V P
jeglicher	j e k l ɪ x ə r	J V K R V K V R
jeher	j e h e r	J V H V R
jemals	j e m a l s	J V M V R S
jemand	j e m a n t	J V M V N T
Jemand	j e m a n t	J V M V N T
jener	j e n ə r	J V N V R
jenig	j e n ɪ x	J V N V K
jenseitig	j e n z ai t ɪ x	J V N S V T V K
Jenseitigkeit	j e n z ai t ɪ x k ai t	J V N S V T V K K V T
jenseits	j e n z ai ts	J V N S V K
Jenseits	j e n z ai ts	J V N S V K
jenseits	j e n z ai ts	J V N S V K
Jerusalem	j e r u z a l ɛ m	J V R V S V R V M
Jesuit	j e z u i t	J V S V V T
Jesuitenorden	j e z u i t ə n ɔ r d ə n	J V S V V T V N V R T V N
jesuitisch	j e z u i t ɪ ʃ	J V S V V T V S
Jesuskind	j e z ʊ s k ɪ n t	J V S V S K V N T
Jet	dʒ ɛ t	T V T
Jeton	ʒ ə t õ	S V T V
jetten	dʒ ɛ t ə n	T V T V N
jetzig	j ɛ ts ɪ x	J V K V K
jetzt	j ɛ ts t	J V K T
Jetzt	j ɛ ts t	J V K T
Jetztzeit	j ɛ ts t ts ai t	J V K T K V T
jeweilig	j e v ai l ɪ x	J V W V R V K
jeweils	j e v ai l s	J V W V R S
jiddisch	j ɪ d ɪ ʃ	J V T V S
Jiddisch	j ɪ d ɪ ʃ	J V T V S
Job	dʒ ɔ p	T V P
jobben	dʒ ɔ b ə n	T V P V N
jochen	j ɔ x ə n	J V K V N
Joch	j ɔ x	J V K
Jockey	dʒ ɔ k e	T V K V
Jod	j o t	J V T
jodeln	j o d ə l n	J V T V R N
Jodel	j o d ə l	J V T V R
jodhaltig	j o t h a l t ɪ x	J V T H V R T V K
Jodler	j o d l ə r	J V T R V R
Joghurt	j o g ʊ r t	J V K V R T
Johannisbeere	j o h a n ɪ s b e r ə	J V H V N V S P V R V
Johannisfeür	j o h a n ɪ s f χ ə r	J V H V N V S P K V R
Johanniswürmchen	j o h a n ɪ s v ʏ r m x ə n	J V H V N V S W V R M K V N
johlen	j o l ə n	J V R V N
Joker	j o k ə r	J V K V R
Jolle	j ɔ l ə	J V R V
Jot	j ɔ t	J V T
Joule	dʒ au l	T V R
Journal	ʒ ʊ r n a l	S V R N V R
Journalismus	ʒ ʊ r n a l ɪ s m ʊ s	S V R N V R V S M V S
Journalist	ʒ ʊ r n a l ɪ s t	S V R N V R V S T
Journalistik	ʒ ʊ r n a l ɪ s t ɪ k	S V R N V R V S T V K
Journalistin	ʒ ʊ r n a l ɪ s t ɪ n	S V R N V R V S T V N
journalistisch	ʒ ʊ r n a l ɪ s t ɪ ʃ	S V R N V R V S T V S
jovial	j o v i a l	J V W V V R
Jovialität	j o v i a l i t æ t	J V W V V R V T V T
jubeln	j u b ə l n	J V P V R N
Jubel	j u b ə l	J V P V R
Jubeljahr	j u b ə l j a r	J V P V R J V R
Jubilar	j u b i l a r	J V P V R V R
Jubilarin	j u b i l a r ɪ n	J V P V R V R V N
Jubiläum	j u b i l æ ʊ m	J V P V R V V M
Jubiläumsausgabe	j u b i l æ ʊ m s au s g a b ə	J V P V R V V M S V S K V P V
juchhei	j ʊ x h ai	J V K H V
juchzen	j ʊ x ts ə n	J V K K V N
jucken	j ʊ k ə n	J V K V N
Juckpulver	j ʊ k p ʊ l f ə r	J V K P V R P V R
Juckreiz	j ʊ k r ai ts	J V K R V K
Judaismus	j u d a ɪ s m ʊ s	J V T V V S M V S
Judaskuss	j u d a s k ʊ s	J V T V S K V S
Jude	j u d ə	J V T V
Judentum	j u d ə n t u m	J V T V N T V M
Judenverfolgung	j u d ə n f ɛ r f ɔ l g ʊ ŋ	J V T V N P V R P V R K V N
Jüdin	j y d ɪ n	J V T V N
jüdisch	j y d ɪ ʃ	J V T V S
Judiz	j u d i ts	J V T V K
judizieren	j u d i ts i r ə n	J V T V K V R V N
Judo	j u d o	J V T V
Jugend	j u g ə n t	J V K V N T
Jugendamt	j u g ə n t a m t	J V K V N T V M T
Jugendbewegung	j u g ə n t b ə v e g ʊ ŋ	J V K V N T P V W V K V N
Jugendfreund	j u g ə n t f r χ n t	J V K V N T P R K N T
jugendgefährdend	j u g ə n t g ə f æ r d ə n t	J V K V N T K V P V R T V N T
Jugendkriminalität	j u g ə n t k r i m i n a l i t æ t	J V K V N T K R V M V N V R V T V T
jugendlich	j u g ə n t l ɪ x	J V K V N T R V K
Jugendliche	j u g ə n t l ɪ x ə	J V K V N T R V K V
Jugoslawien	j u g o s l a v i ə n	J V K V S R V W V V N
jugoslawisch	j u g o s l a v ɪ ʃ	J V K V S R V W V S
Juli	j u l i	J V R V
Jumper	j ʊ m p ə r	J V M P V R
jung	j ʊ ŋ	J V N
jungen	j ʊ ŋ ə n	J V N V N
Junge	j ʊ ŋ ə	J V N V
Junge	j ʊ ŋ ə	J V N V
jungenhaft	j ʊ n g ə n h a f t	J V N K V N H V P T
Jünger	j ʏ ŋ ə r	J V N V R
Jungfer	j ʊ ŋ f ə r	J V N P V R
jüngferlich	j ʏ ŋ f ə r l ɪ x	J V N P V R R V K
Jungfernfahrt	j ʊ ŋ f ə r n f a r t	J V N P V R N P V R T
Jungfrau	j ʊ ŋ f r au	J V N P R V
jungfräulich	j ʊ ŋ f r χ l ɪ x	J V N P R K R V K
Jungfräulichkeit	j ʊ ŋ f r χ l ɪ x k ai t	J V N P R K R V K K V T
Junggeselle	j ʊ ŋ g ə z ɛ l ə	J V N K V S V R V
Junggesellenbude	j ʊ ŋ g ə z ɛ l ə n b u d ə	J V N K V S V R V N P V T V
Junggesellenwirtschaft	j ʊ ŋ g ə z ɛ l ə n v ɪ r t ʃ a f t	J V N K V S V R V N W V R T S V P T
Junggesellin	j ʊ ŋ g ə z ɛ l ɪ n	J V N K V S V R V N
Jüngling	j ʏ ŋ l ɪ ŋ	J V N R V N
jünglinghaft	j ʏ ŋ l ɪ ŋ h a f t	J V N R V N H V P T
jüngst	j ʏ ŋ s t	J V N S T
jüngstens	j ʏ ŋ s t ə n s	J V N S T V N S
jüngsthin	j ʏ ŋ s t h ɪ n	J V N S T H V N
Juni	j u n i	J V N V
junior	j u n i ɔ r	J V N V V R
Junior	j u n i ɔ r	J V N V V R
Juniorchef	j u n i ɔ r ʃ ɛ f	J V N V V R S V P
Junker	j ʊ ŋ k ə r	J V N K V R
Junta	x ʊ n t a	K V N T V
juridisch	j u r i d ɪ ʃ	J V R V T V S
Jurisdiktion	j u r ɪ s d ɪ k ts i o n	J V R V S T V K K V V N
Jurist	j u r ɪ s t	J V R V S T
Juristendeutsch	j u r ɪ s t ə n d χ ɲ	J V R V S T V N T K N
Juristerei	j u r ɪ s t ə r ai	J V R V S T V R V
juristisch	j u r ɪ s t ɪ ʃ	J V R V S T V S
Juror	j u r ɔ r	J V R V R
Jurte	j ʊ r t ə	J V R T V
Jury	ʒ y r i	S V R V
Jus	j u s	J V S
Jus	ʒ y	S V
just	j ʊ s t	J V S T
justament	j ʊ s t a m ɛ n t	J V S T V M V N T
justieren	j ʊ s t i r ə n	J V S T V R V N
Justierung	j ʊ s t i r ʊ ŋ	J V S T V R V N
Justifikation	j ʊ s t i f i k a ts i o n	J V S T V P V K V K V V N
justifizieren	j ʊ s t i f i ts i r ə n	J V S T V P V K V R V N
Justitia	j ʊ s t i ts i a	J V S T V K V V
Justiz	j ʊ s t i ts	J V S T V K
Justizbeamte	j ʊ s t i ts b ə a m t ə	J V S T V K P V V M T V
Justizbehörde	j ʊ s t i ts b ə h ɶː r d ə	J V S T V K P V H V R T V
Justizirrtum	j ʊ s t i ts ɪ r t u m	J V S T V K V R T V M
Justizminister	j ʊ s t i ts m i n ɪ s t ə r	J V S T V K M V N V S T V R
Justizministerium	j ʊ s t i ts m i n ɪ s t e r i ʊ m	J V S T V K M V N V S T V R V V M
Justizmord	j ʊ s t i ts m ɔ r t	J V S T V K M V R T
Justizpalast	j ʊ s t i ts p a l a s t	J V S T V K P V R V S T
Justizrat	j ʊ s t i ts r a t	J V S T V K R V T
Jute	j u t ə	J V T V
juvenal	j u v e n a l	J V W V N V R
juvenil	j u v e n i l	J V W V N V R
Juwel	j u v e l	J V W V R
Juwelier	j u v e l i r	J V W V R V R
juxen	j ʊ k s ə n	J V K S V N
Jux	j ʊ k s	J V K S
Juxta	j ʊ k s t a	J V K S T V
Juxtaposition	j ʊ k s t a p o z i ts i o n	J V K S T V P V S V K V V N
K	k a	K V
Kabale	k a b a l ə	K V P V R V
Kabarett	k a b a r ɛ t	K V P V R V T
Kabarettist	k a b a r ɛ t ɪ s t	K V P V R V T V S T
Kabbala	k a b a l a	K V P V R V
kabeln	k a b ə l n	K V P V R N
Kabel	k a b ə l	K V P V R
Kabel	k a b ə l	K V P V R
Kabeljau	k a b ə l j au	K V P V R J V
Kabellänge	k a b ə l l ɛ ŋ ə	K V P V R R V N V
Kabelleger	k a b ə l l e g ə r	K V P V R R V K V R
Kabelnachricht	k a b ə l n a x r ɪ x t	K V P V R N V K R V K T
Kabine	k a b i n ə	K V P V N V
Kabinett	k a b i n ɛ t	K V P V N V T
Kabinettskrise	k a b i n ɛ ts k r i z ə	K V P V N V K K R V S V
Kabriolett	k a b r i o l ɛ t	K V P R V V R V T
Kabuse	k a b u z ə	K V P V S V
kacheln	k a x ə l n	K V K V R N
Kachel	k a x ə l	K V K V R
Kachelofen	k a x ə l o f ə n	K V K V R V P V N
kacken	k a k ə n	K V K V N
Kacke	k a k ə	K V K V
Kadaver	k a d a v ə r	K V T V W V R
Kadavergehorsam	k a d a v ə r g ə h ɔ r z a m	K V T V W V R K V H V R S V M
Kadenz	k a d ɛ n ts	K V T V N K
Kader	k a d ə r	K V T V R
Kaderabteilung	k a d ə r a p t ai l ʊ ŋ	K V T V R V P T V R V N
Kaderpartie	k a d ə r p a r t i	K V T V R P V R T V
Kadett	k a d ɛ t	K V T V T
Kadmium	k a t m i ʊ m	K V T M V V M
Käfer	k æ f ə r	K V P V R
Kaff	k a f	K V P
Kaffee	k a f e	K V P V
Kaffeebohne	k a f e b o n ə	K V P V P V N V
Kaffeeersatz	k a f e ɛ r z a ts	K V P V V R S V K
Kaffeefilter	k a f e f ɪ l t ə r	K V P V P V R T V R
Kaffeekanne	k a f e k a n ə	K V P V K V N V
Kaffeelöffel	k a f e l œ f ə l	K V P V R V P V R
Kaffeemaschine	k a f e m a ʃ i n ə	K V P V M V S V N V
Kaffeemühle	k a f e m y l ə	K V P V M V R V
Kaffeeservice	k a f e z ɛ r v i s	K V P V S V R W V S
Kaffeetante	k a f e t a n t ə	K V P V T V N T V
Kaffeetrinker	k a f e t r ɪ ŋ k ə r	K V P V T R V N K V R
Kaffeewasser	k a f e v a s ə r	K V P V W V S V R
Kaffer	k a f ə r	K V P V R
Käfig	k æ f ɪ x	K V P V K
kafkäsk	k a f k a ɛ s k	K V P K V V S K
Kaftan	k a f t a n	K V P T V N
kahl	k a l	K V R
Kahlfrass	k a l f r a s	K V R P R V S
kahlfressen	k a l f r ɛ s ə n	K V R P R V S V N
Kahlheit	k a l h ai t	K V R H V T
Kahlkopf	k a l k ɔ pf	K V R K V P
kahlköpfig	k a l k œ + ɪ x	K V R K V + V K
Kahlköpfigkeit	k a l k œ + ɪ x k ai t	K V R K V + V K K V T
kahlscheren	k a l ʃ e r ə n	K V R S V R V N
Kahlschlag	k a l ʃ l a k	K V R S R V K
Kahn	k a n	K V N
Kaiser	k ai z ə r	K V S V R
Kaiserin	k ai z ə r ɪ n	K V S V R V N
kaiserlich	k ai z ə r l ɪ x	K V S V R R V K
Kaiserreich	k ai z ə r r ai x	K V S V R R V K
Kaiserstadt	k ai z ə r ʃ t a t	K V S V R S T V T
Kaisertum	k ai z ə r t u m	K V S V R T V M
Kajak	k a j a k	K V J V K
Kajüte	k a j y t ə	K V J V T V
Kakadu	k a k a d u	K V K V T V
Kakao	k a k au	K V K V
Kakaobohne	k a k au b o n ə	K V K V P V N V
kakeln	k a k ə l n	K V K V R N
Kakerlak	k a k ə r l a k	K V K V R R V K
Kakophonie	k a k o f o n i	K V K V P V N V
Kaktee	k a k t e ə	K V K T V V
Kaktus	k a k t ʊ s	K V K T V S
Kalamität	k a l a m i t æ t	K V R V M V T V T
kalaürn	k a l au ə r n	K V R V V R N
kalben	k a l b ə n	K V R P V N
Kalb	k a l p	K V R P
Kälbchen	k ɛ l p x ə n	K V R P K V N
Kalbe	k a l b ə	K V R P V
kalbern	k a l b ə r n	K V R P V R N
kälbern	k ɛ l b ə r n	K V R P V R N
Kalbfell	k a l p f ɛ l	K V R P P V R
Kalbfleisch	k a l p f l ai ʃ	K V R P P R V S
Kalbleder	k a l p l e d ə r	K V R P R V T V R
