HEADWORD	IPA	SOUND_CLASSES
abgestorben	a p g ə ʃ t ɔ r b ə n	V P K V S T V R P V N
abgestossen	a p g ə ʃ t o s ə n	V P K V S T V S V N
abgestuft	a p g ə ʃ t u f t	V P K V S T V P T
abgestumpft	a p g ə ʃ t ʊ m pf t	V P K V S T V M P T
Abgestumpftheit	a p g ə ʃ t ʊ m pf t h ai t	V P K V S T V M P T H V T
abgetakelt	a p g ə t a k ə l t	V P K V T V K V R T
abgetan	a p g ə t a n	V P K V T V N
abgetragen	a p g ə t r a g ə n	V P K V T R V K V N
abgewinnen	a p g ə v ɪ n ə n	V P K V W V N V N
abgewogen	a p g ə v o g ə n	V P K V W V K V N
Abgewogenheit	a p g ə v o g ə n h ai t	V P K V W V K V N H V T
abgewöhnen	a p g ə v ɶː n ə n	V P K V W V N V N
abgezogen	a p g ə ts o g ə n	V P K V K V K V N
abgiessen	a p g i s ə n	V P K V S V N
Abglanz	a p g l a n ts	V P K R V N K
abgleichen	a p g l ai x ə n	V P K R V K V N
abgleiten	a p g l ai t ə n	V P K R V T V N
abglitschen	a p g l ɪ t ʃ ə n	V P K R V T S V N
Abgott	a p g ɔ t	V P K V T
Abgötterei	a p g œ t ə r ai	V P K V T V R V
abgöttisch	a p g œ t ɪ ʃ	V P K V T V S
Abgottschlange	a p g ɔ t ʃ l a ŋ ə	V P K V T S R V N V
abgraben	a p g r a b ə n	V P K R V P V N
abgrasen	a p g r a z ə n	V P K R V S V N
abgrätschen	a p g r æ t ʃ ə n	V P K R V T S V N
abgreifen	a p g r ai f ə n	V P K R V P V N
abgrenzen	a p g r ɛ n ts ə n	V P K R V N K V N
Abgrenzung	a p g r ɛ n ts ʊ ŋ	V P K R V N K V N
Abgrund	a p g r ʊ n t	V P K R V N T
abgründig	a p g r ʏ n d ɪ x	V P K R V N T V K
abgrundtief	a p g r ʊ n t t i f	V P K R V N T T V P
abgucken	a p g ʊ k ə n	V P K V K V N
Abguss	a p g ʊ s	V P K V S
abhaben	a p h a b ə n	V P H V P V N
abhacken	a p h a k ə n	V P H V K V N
abhaken	a p h a k ə n	V P H V K V N
abhäkeln	a p h æ k ə l n	V P H V K V R N
abhalftern	a p h a l f t ə r n	V P H V R P T V R N
abhalten	a p h a l t ə n	V P H V R T V N
Abhaltung	a p h a l t ʊ ŋ	V P H V R T V N
abhandeln	a p h a n d ə l n	V P H V N T V R N
abhanden	a p h a n d ə n	V P H V N T V N
Abhandlung	a p h a n d l ʊ ŋ	V P H V N T R V N
abhängen	a p h ɛ ŋ ə n	V P H V N V N
Abhang	a p h a ŋ	V P H V N
abhängig	a p h ɛ ŋ ɪ x	V P H V N V K
Abhängigkeit	a p h ɛ ŋ ɪ x k ai t	V P H V N V K K V T
Abhängigkeitsverhältnis	a p h ɛ ŋ ɪ x k ai ts f ɛ r h ɛ l t n ɪ s	V P H V N V K K V K P V R H V R T N V S
abhärmen	a p h ɛ r m ə n	V P H V R M V N
abhärten	a p h ɛ r t ə n	V P H V R T V N
Abhärtung	a p h ɛ r t ʊ ŋ	V P H V R T V N
abhaün	a p h au ə n	V P H V V N
abheben	a p h e b ə n	V P H V P V N
abhebern	a p h e b ə r n	V P H V P V R N
abheften	a p h ɛ f t ə n	V P H V P T V N
abhelfen	a p h ɛ l f ə n	V P H V R P V N
abhetzen	a p h ɛ ts ə n	V P H V K V N
abheürn	a p h χ ə r n	V P H K V R N
Abhilfe	a p h ɪ l f ə	V P H V R P V
Abhitze	a p h ɪ ts ə	V P H V K V
abholen	a p h o l ə n	V P H V R V N
abhold	a p h ɔ l t	V P H V R T
Abholer	a p h o l ə r	V P H V R V R
abholzen	a p h ɔ l ts ə n	V P H V R K V N
Abholzung	a p h ɔ l ts ʊ ŋ	V P H V R K V N
abhören	a p h ɶː r ə n	V P H V R V N
abhorchen	a p h ɔ r x ə n	V P H V R K V N
Abiogenese	a b i o g e n e z ə	V P V V K V N V S V
abirren	a p ɪ r ə n	V P V R V N
Abitur	a b i t u r	V P V T V R
Abiturient	a b i t u r i ɛ n t	V P V T V R V V N T
Abiturientin	a b i t u r i ɛ n t ɪ n	V P V T V R V V N T V N
Abjudikation	a p j u d i k a ts i o n	V P J V T V K V K V V N
abjudizieren	a p j u d i ts i r ə n	V P J V T V K V R V N
abkämmen	a p k ɛ m ə n	V P K V M V N
abkämpfen	a p k ɛ m pf ə n	V P K V M P V N
abkanzeln	a p k a n ts ə l n	V P K V N K V R N
Abkanzelung	a p k a n ts ə l ʊ ŋ	V P K V N K V R V N
abkapiteln	a p k a p i t ə l n	V P K V P V T V R N
abkapseln	a p k a p s ə l n	V P K V P S V R N
Abkapselung	a p k a p s ə l ʊ ŋ	V P K V P S V R V N
Abkapslung	a p k a p s l ʊ ŋ	V P K V P S R V N
abkarten	a p k a r t ə n	V P K V R T V N
abkassieren	a p k a s i r ə n	V P K V S V R V N
abkaufen	a p k au f ə n	V P K V P V N
abkehren	a p k e r ə n	V P K V R V N
Abkehr	a p k e r	V P K V R
abkippen	a p k ɪ p ə n	V P K V P V N
abklappern	a p k l a p ə r n	V P K R V P V R N
abklären	a p k l æ r ə n	V P K R V R V N
abklatschen	a p k l a ɲ ə n	V P K R V N V N
Abklatsch	a p k l a ɲ	V P K R V N
abklemmen	a p k l ɛ m ə n	V P K R V M V N
abklingen	a p k l ɪ ŋ ə n	V P K R V N V N
abklopfen	a p k l ɔ pf ə n	V P K R V P V N
abknabbern	a p k n a b ə r n	V P K N V P V R N
abknallen	a p k n a l ə n	V P K N V R V N
abknappen	a p k n a p ə n	V P K N V P V N
abknapsen	a p k n a p s ə n	V P K N V P S V N
abknicken	a p k n ɪ k ə n	V P K N V K V N
abknöpfen	a p k n œ pf ə n	V P K N V P V N
abkochen	a p k ɔ x ə n	V P K V K V N
abkommen	a p k ɔ m ə n	V P K V M V N
abkommandieren	a p k ɔ m a n d i r ə n	V P K V M V N T V R V N
Abkomme	a p k ɔ m ə	V P K V M V
Abkommen	a p k ɔ m ə n	V P K V M V N
Abkommenschaft	a p k ɔ m ə n ʃ a f t	V P K V M V N S V P T
abkömmlich	a p k œ m l ɪ x	V P K V M R V K
Abkömmling	a p k œ m l ɪ ŋ	V P K V M R V N
abkönnen	a p k œ n ə n	V P K V N V N
abkonterfeien	a p k ɔ n t ə r f ai ə n	V P K V N T V R P V V N
abkoppeln	a p k ɔ p ə l n	V P K V P V R N
abkragen	a p k r a g ə n	V P K R V K V N
abkratzen	a p k r a ts ə n	V P K R V K V N
abkriegen	a p k r i g ə n	V P K R V K V N
abkühlen	a p k y l ə n	V P K V R V N
abkündigen	a p k ʏ n d ɪ g ə n	V P K V N T V K V N
Abkunft	a p k ʊ n f t	V P K V N P T
abkupfern	a p k ʊ pf ə r n	V P K V P V R N
abkürzen	a p k ʏ r ts ə n	V P K V R K V N
Abkürzung	a p k ʏ r ts ʊ ŋ	V P K V R K V N
Abkürzungssprache	a p k ʏ r ts ʊ ŋ s ʃ p r a x ə	V P K V R K V N S S P R V K V
Abkürzungsverzeichnis	a p k ʏ r ts ʊ ŋ s f ɛ r ts ai x n ɪ s	V P K V R K V N S P V R K V K N V S
Abkürzungszeichen	a p k ʏ r ts ʊ ŋ s ts ai x ə n	V P K V R K V N S K V K V N
abladen	a p l a d ə n	V P R V T V N
Abladeplatz	a p l a d ə p l a ts	V P R V T V P R V K
Ablader	a p l a d ə r	V P R V T V R
Abladung	a p l a d ʊ ŋ	V P R V T V N
Ablage	a p l a g ə	V P R V K V
ablagern	a p l a g ə r n	V P R V K V R N
Ablagerung	a p l a g ə r ʊ ŋ	V P R V K V R V N
ablandig	a p l a n d ɪ x	V P R V N T V K
ablassen	a p l a s ə n	V P R V S V N
Ablass	a p l a s	V P R V S
Ablassbrief	a p l a s b r i f	V P R V S P R V P
Ablation	a p l a ts i o n	V P R V K V V N
Ablativ	a b l a t i f	V P R V T V P
