Headword	German_IPA	German_Sound_Classes
hasel	h aː z ə l	H V S V R
strang	ʃ t r a ŋ	S T R V N
raum	r au m	R V M
brechen	b r ɛ x ə n	P R V K V N
bruch	b r ʊ x	P R V K
otter	ɔ t ə r	V T V R
saum	z au m	S V M
bann	b a n	P V N
leuchten	l ɔy x t ə n	R V K T V N
handeln	h a n d ə l n	H V N T V R N
knopf	k n ɔ pf	K N V P
bieten	b iː t ə n	P V T V N
donner	d ɔ n ə r	T V N V R
klimmen	k l ɪ m ə n	K R V M V N
garn	ɡ a r n	K V R N
tat	t aː t	T V T
binden	b ɪ n d ə n	P V N T V N
schulter	ʃ ʊ l t ə r	S V R T V R
ein	ai n	V N
leben	l eː b ə n	R V P V N
gift	ɡ ɪ f t	K V P T
horn	h ɔ r n	H V R N
nabe	n aː b ə	N V P V
helm	h ɛ l m	H V R M
wagen	v aː ɡ ə n	W V K V N
beide	b ai d ə	P V T V
dieb	d iː p	T V P
waten	v aː t ə n	W V T V N
wetter	v ɛ t ə r	W V T V R
laub	l au p	R V P
milch	m ɪ l x	M V R K
sturm	ʃ t ʊ r m	S T V R M
waffe	v a f ə	W V P V
ochse	ɔ k s ə	V K S V
wachsen	v a k s ə n	W V K S V N
feld	f ɛ l t	P V R T
wald	v a l t	W V R T
rauch	r au x	R V K
ding	d ɪ ŋ	T V N
mut	m uː t	M V T
schaufel	ʃ au f ə l	S V P V R
strecken	ʃ t r ɛ k ə n	S T R V K V N
rost	r ɔ s t	R V S T
trank	t r a ŋ k	T R V N K
galle	ɡ a l ə	K V R V
geben	ɡ eː b ə n	K V P V N
hag	h aː k	H V K
monat	m oː n aː t	M V N V T
teig	t ai k	T V K
knecht	k n ɛ x t	K N V K T
aal	aː l	V R
volk	f ɔ l k	P V R K
tag	t aː k	T V K
lauch	l au x	R V K
gras	ɡ r aː s	K R V S
brand	b r a n t	P R V N T
heu	h ɔy	H V
boden	b oː d ə n	P V T V N
joch	j ɔ x	J V K
sparen	ʃ p aː r ə n	S P V R V N
leib	l ai p	R V P
wachs	v a k s	W V K S
blut	b l uː t	P R V T
zehn	ts eː n	K V N
jugend	j uː ɡ ə n t	J V K V N T
regenbogen	r eː ɡ ə n b oː ɡ ə n	R V K V N P V K V N
kropf	k r ɔ pf	K R V P
futter	f ʊ t ə r	P V T V R
lunge	l ʊ ŋ ə	R V N V
dill	d/t ɪ l	T V R
winden	v ɪ n d ə n	W V N T V N
lehm	l eː m	R V M
knie	k n iː	K N V
vater	f aː t ə r	P V T V R
lassen	l a s ə n	R V S V N
frieren	f r iː r ə n	P R V R V N
biegen	b iː ɡ ə n	P V K V N
buch	b uː x	P V K
segel	z eː ɡ ə l	S V K V R
leine	l ai n ə	R V N V
dach	d a x	T V K
furche	f ʊ r x ə	P V R K V
zeit	ts ai t	K V T
floh	f l oː	P R V
saft	z a f t	S V P T
zecke	ts ɛ k ə	K V K V
schwimmen	ʃ v ɪ m ə n	S W V M V N
malz	m a l ts	M V R K
kauen	k au ə n	K V V N
ringen	r ɪ ŋ ə n	R V N V N
waschen	v a ʃ ə n	W V S V N
hagel	h aː ɡ ə l	H V K V R
ofen	oː f ə n	V P V N
jahr	j aː r	J V R
fleisch	f l ai ʃ	P R V S
bauer	b au ə r	P V V R
bein	b ai n	P V N
wachen	v a x ə n	W V K V N
wunder	v ʊ n d ə r	W V N T V R
schwester	ʃ v ɛ s t ə r	S W V S T V R
schnee	ʃ n eː	S N V
lachen	l a x ə n	R V K V N
regen	r eː ɡ ə n	R V K V N
himmel	h ɪ m ə l	H V M V R
schwein	ʃ v ai n	S W V N
teil	t ai l	T V R
gold	ɡ ɔ l t	K V R T
kuh	k uː	K V
sorge	z ɔ r ɡ ə	S V R K V
fliegen	f l iː ɡ ə n	P R V K V N
scheide	ʃ ai d ə	S V T V
widder	v ɪ d ə r	W V T V R
wurm	v ʊ r m	W V R M
wasser	v a s ə r	W V S V R
brauchen	b r au x ə n	P R V K V N
schlagen	ʃ l aː ɡ ə n	S R V K V N
locke	l ɔ k ə	R V K V
beginnen	b ə ɡ ɪ n ə n	P V K V N V N
brot	b r oː t	P R V T
sechs	z ɛ k s	S V K S
nacken	n a k ə n	N V K V N
warze	v a r ts ə	W V R K V
bart	b aː r t	P V R T
tal	t aː l	T V R
sitzen	z ɪ ts ə n	S V K V N
zange	ts a ŋ ə	K V N V
salz	z a l ts	S V R K
fliehen	f l iː ə n	P R V V N
sparren	ʃ p a r ə n	S P V R V N
hure	h uː r ə	H V R V
treiben	t r ai b ə n	T R V P V N
kitt	k ɪ t	K V T
halten	h a l t ə n	H V R T V N
stroh	ʃ t r oː	S T R V
fisch	f ɪ ʃ	P V S
weide	v ai d ə	W V T V
wespe	v ɛ s p ə	W V S P V
schwalbe	ʃ v a l b ə	S W V R P V
schauen	ʃ au ə n	S V V N
gans	ɡ a n s	K V N S
beugen	b ɔy ɡ ə n	P V K V N
bord	b ɔ r d/t	P V R T
reif	r ai f	R V P
bad	b aː d	P V T
fasten	f a s t ə n	P V S T V N
westen	v ɛ s t ə n	W V S T V N
seele	z eː l ə	S V R V
lust	l ʊ s t	R V S T
essen	ɛ s ə n	V S V N
haben	h aː b ə n	H V P V N
haar	h aː r	H V R
dreschen	d r ɛ ʃ ə n	T R V S V N
land	l a n t	R V N T
spannen	ʃ p a n ə n	S P V N V N
strom	ʃ t r oː m	S T R V M
saufen	z au f ə n	S V P V N
