ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	ALIGNMENT
1795	English	*fellan	fell	fɛl	f ɛ l		493	f ɛ l ( - - )
1796	Dutch	*fellan	vel	vɛl	v ɛ l		493	v ɛ l ( - - )
1207	ProtoGermanic	*felxanan	*felxanan	felxanan	f e l x a n a n		332	f e l x a ( n a n )
1208	German	*felxanan	Felge	fɛlɡə	f ɛ l g ə		332	f ɛ l g ə ( - - - )
1209	Dutch	*felxanan	velg	vɛlx	v ɛ l x		332	v ɛ l x - ( - - - )
695	ProtoGermanic	*felθuz	*felθuz	felθuz	f e l θ u z		192	f e l θ ( u z )
696	German	*felθuz	Feld	fɛlt	f ɛ l t		192	f ɛ l d ( - - )
697	English	*felθuz	field	fiːld	f iː l d		192	f iː l d ( - - )
698	Dutch	*felθuz	veld	vɛlt	v ɛ l t		192	v ɛ l t ( - - )
1694	ProtoGermanic	*fengraz	*fengraz	fengraz	f e n g r a z		466	f e n g - r ( a z )
1695	German	*fengraz	Finger	fɪŋər	f ɪ ŋ ə r		466	f ɪ ŋ - ə r ( - - )
1696	English	*fengraz	finger	fɪŋɡər	f ɪ ŋ g ə r		466	f ɪ ŋ g ə r ( - - )
1697	Dutch	*fengraz	vinger	vɪŋər	v ɪ ŋ ə r		466	v ɪ ŋ - ə r ( - - )
1754	ProtoGermanic	*fenθanan	*fenθanan	fenθanan	f e n θ a n a n		482	f e n θ a n ( a n )
1755	German	*fenθanan	finden	fɪndən	f ɪ n d ə n		482	f ɪ n d ə n ( - - )
